"","lon","lat","ele","time","name","sym","site","cmt","desc","extensions","type","link"
"132",-78.6284489,-0.003922,NA,"16-AGO-18 8:51:39","169","Flag, Blue","Alaspungo","16-AGO-18 8:51:39","16-AGO-18 8:51:39","SymbolAndName",NA,NA
"133",-78.6284489,-0.003922,NA,"16-AGO-18 8:52:25","170","Flag, Blue","Alaspungo","16-AGO-18 8:52:25","16-AGO-18 8:52:25","SymbolAndName",NA,NA
"134",-78.6284489,-0.003922,NA,"16-AGO-18 8:52:47","171","Flag, Blue","Alaspungo","16-AGO-18 8:52:47","16-AGO-18 8:52:47","SymbolAndName",NA,NA
"135",-78.6284489,-0.003922,NA,"16-AGO-18 8:52:49","172","Flag, Blue","Alaspungo","16-AGO-18 8:52:49","16-AGO-18 8:52:49","SymbolAndName",NA,NA
"136",-78.6284489,-0.003922,NA,"16-AGO-18 8:53:01","173","Flag, Blue","Alaspungo","16-AGO-18 8:53:01","16-AGO-18 8:53:01","SymbolAndName",NA,NA
"137",-78.6284489,-0.003922,NA,"16-AGO-18 8:54:40","174","Flag, Blue","Alaspungo","16-AGO-18 8:54:40","16-AGO-18 8:54:40","SymbolAndName",NA,NA
"138",-78.6284489,-0.003922,NA,"16-AGO-18 8:54:43","175","Flag, Blue","Alaspungo","16-AGO-18 8:54:43","16-AGO-18 8:54:43","SymbolAndName",NA,NA
"139",-78.6284489,-0.003922,NA,"16-AGO-18 8:54:48","176","Flag, Blue","Alaspungo","16-AGO-18 8:54:48","16-AGO-18 8:54:48","SymbolAndName",NA,NA
"140",-78.6284489,-0.003922,NA,"16-AGO-18 8:55:02","177","Flag, Blue","Alaspungo","16-AGO-18 8:55:02","16-AGO-18 8:55:02","SymbolAndName",NA,NA
"141",-78.6284489,-0.003922,NA,"16-AGO-18 8:55:03","178","Flag, Blue","Alaspungo","16-AGO-18 8:55:03","16-AGO-18 8:55:03","SymbolAndName",NA,NA
"142",-78.6284489,-0.003922,NA,"16-AGO-18 8:55:16","179","Flag, Blue","Alaspungo","16-AGO-18 8:55:16","16-AGO-18 8:55:16","SymbolAndName",NA,NA
"143",-78.6284489,-0.003922,NA,"16-AGO-18 8:55:38","180","Flag, Blue","Alaspungo","16-AGO-18 8:55:38","16-AGO-18 8:55:38","SymbolAndName",NA,NA
"144",-78.6284489,-0.003922,NA,"16-AGO-18 9:16:31","a","Flag, Blue","Alaspungo","16-AGO-18 9:16:31","16-AGO-18 9:16:31","SymbolAndName",NA,NA
"145",-78.6284489,-0.003922,NA,"16-AGO-18 9:26:49","ALAS4716","Flag, Blue","Alaspungo","16-AGO-18 9:26:49","16-AGO-18 9:26:49","SymbolAndName",NA,NA
"146",-78.6284489,-0.003922,NA,"16-AGO-18 8:41:41","ALAS5316","Flag, Blue","Alaspungo","16-AGO-18 8:41:41","16-AGO-18 8:41:41","SymbolAndName",NA,NA
"147",-78.6284489,-0.003922,NA,"16-AGO-18 9:01:25","ALAS6116","Flag, Blue","Alaspungo","16-AGO-18 9:01:25","16-AGO-18 9:01:25","SymbolAndName",NA,NA
"148",-78.6284489,-0.003922,NA,"16-AGO-18 9:43:39","ALAS6216","Flag, Blue","Alaspungo","16-AGO-18 9:43:39","16-AGO-18 9:43:39","SymbolAndName",NA,NA
